Model,Test Loss,Accuracy
BiGRU,0.24177266657352448,0.9089999794960022
GRU,0.4553285539150238,0.8654999732971191
RNN,1.7952877283096313,0.1509999930858612
LSTM,1.7611079216003418,0.13699999451637268
